Regione	      Indicepov	Crimini	Scolarizza	Dis_giov	Pil	Internet
Abruzzo		9.20	2.80	80.40		24.00	27703.00 			48.10
Basilicata	26.50	4.00	84.60		38.30	10973.00 		39.90
Calabria	29.60	2.60	78.30		31.80	33988.00 		38.60
Campania	28.50	3.20	72.10		38.10	95087.00 		45.30
EmiliaR 	4.60	3.20	81.40		18.30	133035.00 		50.80
Friuli		9.10	4.60	80.20		18.90	34856.00 			49.60
Lazio		7.80	3.10	83.00		30.60	168907.00 			51.50
Liguria		6.10	3.50	84.70	18.80	43440.00 			42.30
Lombardia	5.10	3.20	74.10	18.50	310952.00 		50.60
Marche		8.80	2.50	80.70	22.60	40396.00 			53.00
Molise		18.30	1.90	78.70	27.10	6449.00				45.50
Piemonte	6.80	4.70	74.80	24.10	121563.00 		46.20
Puglia		21.90	3.10	70.90	32.60	68292.00 			38.10
Sardegna	26.00	4.30	70.30	44.70	33450.00 		49.50
Sicilia		29.30	3.80	68.60	38.50	86015.00			39.80
Toscana		6.60	4.40	77.00	17.80	104002.00			48.80
Trentino	10.85	7.5	73.8	10.2	16718			51.55
Umbria		7.80	2.40	87.60	19.60	21145.00			48.60
ValleA		7.60	3.40	70.40	17.50	4183.00				48.20
Veneto		5.40	2.80	78.70	14.40	141530.00			50.10
