Acfissa	AnidsolfT	PH	Solfiti	Alcohol	Grad
8.0	109.0	2.89	0.44	12.70	2.00
8.0	109.0	2.89	0.44	12.70	2.00
5.0	80.0	3.49	0.66	13.60	2.00
6.7	100.0	3.26	0.39	11.70	2.00
6.7	100.0	3.26	0.39	11.70	2.00
5.5	87.0	3.50	0.82	14.00	2.00
5.0	60.0	3.70	0.75	14.00	2.00
6.1	165.0	3.25	0.59	11.90	2.00
5.8	11.0	3.39	0.54	13.50	2.00
4.9	42.0	3.71	0.74	14.00	2.00
5.1	88.0	3.68	0.73	13.60	2.00
5.2	63.0	3.68	0.79	14.00	2.00
5.2	63.0	3.68	0.79	14.00	2.00
6.4	12.0	3.47	0.53	12.90	2.00
5.0	50.0	3.72	0.74	14.00	2.00
5.3	89.0	3.54	0.88	8.80	2.00
5.3	89.0	3.54	0.88	13.60	2.00
5.7	18.0	3.45	0.56	12.20	2.00
5.1	44.0	3.90	0.62	12.80	2.00
6.6	149.0	3.12	0.50	11.50	2.00
6.3	33.0	3.45	0.48	12.30	2.00
7.9	17.0	3.20	0.72	13.10	2.00
6.0	89.0	3.30	0.50	10.55	2.00
5.6	88.0	3.56	0.82	12.90	2.00
5.1	101.0	3.46	0.87	12.90	2.00
5.4	93.0	3.57	0.85	13.00	2.00
7.1	18.0	3.39	0.40	12.80	2.00
7.1	18.0	3.39	0.40	12.80	2.00
7.1	24.0	3.30	0.53	13.30	2.00
5.6	15.0	3.52	0.58	12.90	1.00
5.4	46.0	4.01	0.59	12.50	2.00
5.0	46.0	4.01	0.59	12.50	2.00
5.6	25.0	3.56	0.55	12.90	1.00
5.1	86.0	3.56	0.94	12.90	2.00
5.2	106.0	3.54	0.62	12.20	2.00
6.8	8.0	3.36	0.55	12.80	2.00
6.8	8.0	3.36	0.55	12.80	2.00
8.0	7.0	3.22	0.37	13.00	1.00
6.5	27.0	3.33	0.59	12.80	2.00
6.0	33.0	3.58	0.59	12.50	2.00
6.4	65.0	3.33	0.60	10.50	2.00
6.4	53.0	3.36	0.62	12.20	2.00
6.3	26.0	3.55	0.51	12.10	1.00
6.3	35.0	3.32	0.82	11.60	2.00
7.9	278.0	3.01	0.51	12.30	2.00
7.9	289.0	3.01	0.51	12.30	2.00
7.1	11.0	3.35	0.66	12.70	2.00
4.7	106.0	3.85	0.60	12.90	2.00
6.9	22.0	3.38	0.49	11.70	1.00
7.2	29.0	3.35	0.61	12.10	2.00
7.1	31.0	3.35	0.54	12.40	2.00
7.4	38.0	3.38	0.88	13.60	2.00
7.3	11.0	3.29	0.52	11.50	2.00
7.3	11.0	3.29	0.52	11.50	2.00
7.2	46.0	3.32	0.51	11.80	2.00
6.7	16.0	3.43	0.52	12.60	1.00
6.1	45.0	3.38	0.54	11.00	1.00
5.0	96.0	3.74	0.62	11.50	1.00
6.4	35.0	3.37	0.93	12.40	2.00
5.3	27.0	3.57	0.84	12.50	2.00
4.6	65.0	3.90	0.56	13.10	1.00
5.9	135.0	3.32	0.44	9.50	1.00
7.1	18.0	3.39	0.56	12.40	2.00
5.6	78.0	3.68	0.73	11.40	1.00
7.0	39.0	3.33	0.46	11.90	2.00
7.0	39.0	3.33	0.46	11.90	2.00
6.2	18.0	3.57	0.54	11.95	1.00
7.3	64.0	3.38	0.57	11.70	2.00
6.6	28.0	3.44	0.55	12.30	2.00
6.1	70.0	3.46	0.65	12.50	2.00
6.9	12.0	3.30	0.65	11.40	2.00
8.9	12.0	3.25	0.55	12.30	2.00
7.6	35.0	3.22	0.59	12.50	2.00
8.2	10.0	3.33	0.70	12.80	2.00
8.2	10.0	3.33	0.70	12.80	2.00
7.2	42.0	3.34	0.72	12.90	2.00
5.8	88.0	3.66	0.60	11.50	2.00
6.1	46.0	3.47	0.45	11.00	1.00
6.6	26.0	3.40	0.72	12.50	2.00
8.0	16.0	3.15	0.81	12.50	2.00
6.6	16.0	3.50	0.44	11.90	2.00
8.0	25.0	3.28	0.66	12.40	2.00
6.1	27.0	3.57	0.50	11.90	1.00
5.9	28.0	3.62	0.67	12.40	2.00
7.9	36.0	3.41	0.56	12.60	2.00
5.6	99.0	3.63	0.63	13.00	1.00
5.6	99.0	3.63	0.63	13.00	1.00
7.7	43.0	3.41	0.57	11.80	2.00
7.7	43.0	3.41	0.57	11.80	2.00
6.6	53.0	3.35	0.76	11.60	2.00
6.3	49.0	3.41	0.60	12.80	1.00
5.9	24.0	3.56	0.77	11.10	2.00
5.9	24.0	3.56	0.77	11.10	2.00
8.2	17.0	3.21	0.54	12.30	2.00
6.4	52.0	3.49	0.52	11.60	1.00
5.6	11.0	3.71	0.63	12.80	2.00
5.6	11.0	3.71	0.63	12.80	2.00
6.3	52.0	3.51	0.60	11.50	2.00
5.0	85.0	3.75	0.48	10.50	1.00
6.5	44.0	3.21	0.56	12.00	2.00
5.9	44.0	3.50	0.53	11.20	1.00
8.4	10.0	3.27	0.71	12.50	2.00
6.6	40.0	3.38	0.66	12.60	2.00
7.4	25.0	3.35	0.63	12.00	2.00
7.4	25.0	3.35	0.63	12.00	2.00
9.1	18.0	3.18	0.55	11.40	1.00
8.4	36.0	3.11	0.78	12.40	2.00
8.8	27.0	3.14	0.59	11.30	2.00
5.3	62.0	3.62	0.61	11.00	1.00
6.6	8.0	3.33	0.37	10.40	1.00
7.9	35.0	3.29	0.71	11.00	2.00
6.2	34.0	3.48	0.57	11.50	2.00
